@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 14.198126,1 4.061264,2 3.103293,3 3.046678,4 -0.198126,5 -1.687767,6 -1.458044,7 1.510049,8 0.474928,9 -1.802816,10 0.403925,11 1.160179,12 0.216524,13 -0.052938,14 0.565326,15 0.219299,16 -0.430102,17 0.956964,18 -0.182659,19 0.056508,20 -0.251008,21 -0.147899,22 0.476466,23 -0.06845,24 0.241902,25 -0.406487,26 0.207313,27 -0.1947,28 1.004702,29 -0.43803,30 -0.131525,31 -0.744652,32 2}
{0 4.522207,1 -7.150395,2 -1.454157,3 3.514997,4 -0.759105,5 -2.296982,6 1.099599,7 0.484779,8 0.54423,9 0.032468,10 0.017336,11 1.073653,12 0.397131,13 -0.502543,14 -0.099935,15 -0.373513,16 0.298277,17 -1.041486,18 0.509302,19 0.37907,20 0.175524,21 0.040461,22 -0.961194,23 -0.895882,24 0.31928,25 -0.698803,26 -0.212328,27 0.043392,28 1.255785,29 1.468496,30 0.514139,31 -0.73672,32 8}
{0 13.136572,1 -0.632053,2 -0.665248,3 0.912701,4 -1.671533,5 0.011957,6 1.255571,7 -0.011649,8 1.348489,9 -0.738757,10 0.645136,11 1.52502,12 0.266424,13 -0.735441,14 0.03565,15 -0.698025,16 0.79834,17 0.142537,18 -0.426461,19 0.916838,20 0.560044,21 -1.09792,22 0.224219,23 0.465186,24 -0.260968,25 -0.264247,26 -0.048204,27 -0.114904,28 -0.184617,29 -0.216453,30 -0.04448,31 -0.321616,32 8}
{0 2.049393,1 -4.034348,2 -0.038464,3 3.793418,4 -2.166649,5 -2.068644,6 0.025498,7 -2.096019,8 -0.926994,9 -1.474167,10 -0.843875,11 0.669484,12 -0.086743,13 -0.205961,14 0.817186,15 -1.034847,16 0.483119,17 0.971391,18 -0.351616,19 0.810752,20 -0.457889,21 -0.571512,22 0.158187,23 0.099453,24 -1.057247,25 -0.312175,26 1.105408,27 0.625733,28 0.247727,29 -0.565589,30 -0.309621,31 0.022887,32 6}
{0 1.239725,1 -3.499886,2 0.782227,3 2.869091,4 -1.540984,5 -0.157865,6 -0.121621,7 -1.099815,8 0.276436,9 -0.909595,10 -0.535797,11 0.776153,12 0.720507,13 -0.256888,14 0.015458,15 0.47098,16 0.074996,17 -0.609999,18 1.049962,19 -0.060003,20 -0.619431,21 0.288202,22 -0.918477,23 -0.002847,24 0.184826,25 0.228337,26 -0.385775,27 0.336876,28 1.389878,29 1.281264,30 0.662202,31 -0.405199,32 8}
{0 10.446826,1 -1.0369,2 -2.837283,3 0.70036,4 -1.421475,5 -0.3018,6 0.163378,7 -0.45605,8 2.265761,9 -0.406325,10 -0.157835,11 1.696561,12 -0.126068,13 0.450909,14 0.328013,15 0.085586,16 -0.370219,17 0.413966,18 0.126861,19 -0.250591,20 -0.361342,21 -0.051237,22 -0.044129,23 0.414343,24 -0.687056,25 -0.110078,26 0.393584,27 -0.14585,28 0.106607,29 0.083254,30 0.390459,31 -0.092372,32 9}
{0 13.106002,1 -5.380405,2 -0.39698,3 0.999381,4 -1.139077,5 -0.574001,6 -0.033265,7 0.218705,8 -0.610836,9 0.423665,10 -0.066033,11 0.946957,12 0.412641,13 0.655975,14 0.427818,15 -0.848952,16 -0.29436,17 -0.059811,18 0.876943,19 0.723725,20 -0.165844,21 0.046363,22 0.093743,23 0.536621,24 -0.073744,25 -0.163634,26 0.400409,27 -0.087262,28 -0.012382,29 0.032752,30 -0.02688,31 0.217851,32 3}
{0 6.384064,1 5.72491,2 0.034344,3 5.167703,4 -0.090637,5 -0.06705,6 -0.69394,7 0.715436,8 0.01309,9 1.317274,10 -0.242318,11 1.837613,12 0.720892,13 -2.3192,14 -0.221118,15 -0.495054,16 -0.004809,17 1.601667,18 -0.013317,19 0.075612,20 -0.086729,21 0.375568,22 0.362694,23 0.292531,24 -0.296203,25 -0.830799,26 0.415869,27 -0.314582,28 0.383933,29 0.208928,30 0.372105,31 -0.061924,32 2}
{0 12.508366,1 -6.508357,2 -1.125444,3 4.28229,4 1.969678,5 -0.667458,6 -0.390199,7 0.56404,8 -0.14608,9 -0.644967,10 -0.029021,11 1.097895,12 -0.78148,13 0.398801,14 -1.363528,15 -1.339882,16 0.892346,17 -0.786377,18 0.132461,19 0.465081,20 -0.00314,21 0.296434,22 -0.996195,23 -0.013304,24 -0.977893,25 0.142814,26 0.529412,27 0.275062,28 -0.28188,29 0.021504,30 0.101658,31 0.40457,32 2}
{0 9.561776,1 1.298068,2 1.389778,3 0.50104,4 -1.666266,5 -0.33035,6 1.149006,7 -0.829228,8 1.557032,9 -0.17681,10 -0.173457,11 0.985922,12 -0.45718,13 0.823793,14 -0.830084,15 -0.124617,16 -0.632455,17 0.463442,18 -0.507353,19 -0.738058,20 0.449815,21 0.099579,22 -0.175911,23 -0.13397,24 0.24747,25 -0.855151,26 0.932493,27 0.520842,28 0.224117,29 -0.086707,30 0.396411,31 0.152242,32 9}
